Date,low est,high est,item,itemURL,seller,hammer price
19 May 2019,"£3,752.00","£3,346.40",Yamazaki 1990 -  2008 The Cask of Yamazaki Sherry Butt,"<a target=""_blank"" href=""https://www.just-whisky.co.uk/may-2019/74013-yamazaki-1990-the-cask-of-yamazaki-sherry-butt-4901777188396.html"">Yamazaki 1990 -  2008 The Cask of Yamazaki Sherry Butt</a>",just-whisky.co.uk,"£3,350.00"
19 May 2019,"£2,240.00","£1,996.40",Yamazaki 18 Years Old - Mizunara 2017 Edition,"<a target=""_blank"" href=""https://www.just-whisky.co.uk/may-2019/73948-yamazaki-18-years-old-mizunara-2017-edition.html"">Yamazaki 18 Years Old - Mizunara 2017 Edition</a>",just-whisky.co.uk,"£2,000.00"
19 May 2019,"£2,240.00","£1,996.40",Yamazaki 18 Years Old - Mizunara 2017 Edition,"<a target=""_blank"" href=""https://www.just-whisky.co.uk/may-2019/73827-yamazaki-18-years-old-mizunara-2017-edition.html"">Yamazaki 18 Years Old - Mizunara 2017 Edition</a>",just-whisky.co.uk,"£2,000.00"
19 May 2019,£516.32,£429.74,Yamazaki 18 Years Old - Suntory,"<a target=""_blank"" href=""https://www.just-whisky.co.uk/may-2019/73866-yamazaki-18-years-old-suntory.html"">Yamazaki 18 Years Old - Suntory</a>",just-whisky.co.uk,£461.00
19 May 2019,£516.32,£429.74,Yamazaki 18 Years Old - Suntory,"<a target=""_blank"" href=""https://www.just-whisky.co.uk/may-2019/73864-yamazaki-18-years-old-suntory-4901777126039.html"">Yamazaki 18 Years Old - Suntory</a>",just-whisky.co.uk,£461.00
19 May 2019,£516.32,£429.74,Yamazaki 18 Years Old - Suntory,"<a target=""_blank"" href=""https://www.just-whisky.co.uk/may-2019/73868-yamazaki-18-years-old-suntory.html"">Yamazaki 18 Years Old - Suntory</a>",just-whisky.co.uk,£461.00
19 May 2019,£516.32,£429.74,Yamazaki 18 Years Old - Suntory,"<a target=""_blank"" href=""https://www.just-whisky.co.uk/may-2019/73869-yamazaki-18-years-old-suntory.html"">Yamazaki 18 Years Old - Suntory</a>",just-whisky.co.uk,£461.00
19 May 2019,£516.32,£429.74,Yamazaki 18 Years Old - Suntory,"<a target=""_blank"" href=""https://www.just-whisky.co.uk/may-2019/73865-yamazaki-18-years-old-suntory.html"">Yamazaki 18 Years Old - Suntory</a>",just-whisky.co.uk,£461.00
19 May 2019,£515.77,£429.28,Yamazaki 18 Years Old - Suntory,"<a target=""_blank"" href=""https://www.just-whisky.co.uk/may-2019/73296-yamazaki-18-years-old-4901777126039.html"">Yamazaki 18 Years Old - Suntory</a>",just-whisky.co.uk,£460.51
19 May 2019,£515.77,£429.28,Yamazaki 18 Years Old - Suntory,"<a target=""_blank"" href=""https://www.just-whisky.co.uk/may-2019/73307-yamazaki-18-years-old-4901777126039.html"">Yamazaki 18 Years Old - Suntory</a>",just-whisky.co.uk,£460.51
19 May 2019,£515.77,£429.28,Yamazaki 18 Years Old - Suntory,"<a target=""_blank"" href=""https://www.just-whisky.co.uk/may-2019/73303-yamazaki-18-years-old-4901777126039.html"">Yamazaki 18 Years Old - Suntory</a>",just-whisky.co.uk,£460.51
19 May 2019,£515.77,£429.28,Yamazaki 18 Years Old - Suntory,"<a target=""_blank"" href=""https://www.just-whisky.co.uk/may-2019/73300-yamazaki-18-years-old-4901777126039.html"">Yamazaki 18 Years Old - Suntory</a>",just-whisky.co.uk,£460.51
